기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-03-02,3.2(월),1,최상위권 전문관,0,729,729,729,0,0,528,528,0,600,600,0,201,201,0.3806818181818182,0,129,129,1.215,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),43,K,X/Y,AA/AB
2026-03-02,3.2(월),2,기숙 종합관,0,404,404,404,0,0,257,257,0,400,400,0,147,147,0.5719844357976653,0,4,4,1.01,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),44,K,X/Y,AA/AB
2026-03-02,3.2(월),3,여학생 전문관,0,331,331,422,-91,0,403,403,0,395,395,0,-72,-72,-0.17866004962779156,0,-64,-64,0.8379746835443038,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),45,K,X/Y,AA/AB
2026-03-02,3.2(월),4,여학생 수학전문관,0,91,91,,,0,0,0,0,0,0,0,91,91,,0,91,91,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),46,K,X/Y,AA/AB
2026-03-02,3.2(월),5,남학생 전문관,0,464,464,464,0,0,435,435,0,440,440,0,29,29,0.06666666666666667,0,24,24,1.0545454545454545,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),47,K,X/Y,AA/AB
2026-03-02,3.2(월),6,강남,92,172,264,264,0,100,133,233,104,305,409,-8,39,31,0.13304721030042918,-12,-133,-145,0.6454767726161369,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),21,K,X/Y,AA/AB
2026-03-02,3.2(월),7,목동,94,246,340,340,0,94,296,390,85,316,401,0,-50,-50,-0.1282051282051282,9,-70,-61,0.8478802992518704,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),23,K,X/Y,AA/AB
2026-03-02,3.2(월),8,분당,176,332,508,508,0,221,340,561,220,255,475,-45,-8,-53,-0.0944741532976827,-44,77,33,1.0694736842105264,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),24,K,X/Y,AA/AB
2026-03-02,3.2(월),9,대구,160,427,587,587,0,191,443,634,218,430,648,-31,-16,-47,-0.07413249211356467,-58,-3,-61,0.9058641975308642,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),32,K,X/Y,AA/AB
2026-03-02,3.2(월),10,대전,101,172,273,273,0,127,185,312,125,181,306,-26,-13,-39,-0.125,-24,-9,-33,0.8921568627450981,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.2(월),33,K,X/Y,AA/AB
2026-03-04,3.4(수),1,최상위권 전문관,0,733,733,733,0,0,528,528,0,600,600,0,205,205,0.38825757575757575,0,133,133,1.2216666666666667,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),43,K,X/Y,AA/AB
2026-03-04,3.4(수),2,기숙 종합관,0,406,406,406,0,0,257,257,0,400,400,0,149,149,0.5797665369649806,0,6,6,1.015,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),44,K,X/Y,AA/AB
2026-03-04,3.4(수),3,여학생 전문관,0,334,334,424,-90,0,404,404,0,395,395,0,-70,-70,-0.17326732673267325,0,-61,-61,0.8455696202531645,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),45,K,X/Y,AA/AB
2026-03-04,3.4(수),4,여학생 수학전문관,0,90,90,,,0,0,0,0,0,0,0,90,90,,0,90,90,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),46,K,X/Y,AA/AB
2026-03-04,3.4(수),5,남학생 전문관,0,466,466,466,0,0,433,433,0,440,440,0,33,33,0.07621247113163972,0,26,26,1.059090909090909,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),47,K,X/Y,AA/AB
2026-03-04,3.4(수),6,강남,94,171,265,265,0,100,136,236,104,305,409,-6,35,29,0.1228813559322034,-10,-134,-144,0.6479217603911981,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),21,K,X/Y,AA/AB
2026-03-04,3.4(수),7,목동,95,251,346,346,0,94,298,392,85,316,401,1,-47,-46,-0.11734693877551021,10,-65,-55,0.8628428927680798,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),23,K,X/Y,AA/AB
2026-03-04,3.4(수),8,분당,173,336,509,509,0,222,345,567,220,255,475,-49,-9,-58,-0.10229276895943562,-47,81,34,1.071578947368421,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),24,K,X/Y,AA/AB
2026-03-04,3.4(수),9,대구,163,433,596,596,0,193,448,641,218,430,648,-30,-15,-45,-0.07020280811232449,-55,3,-52,0.9197530864197531,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),32,K,X/Y,AA/AB
2026-03-04,3.4(수),10,대전,107,175,282,282,0,127,188,315,125,181,306,-20,-13,-33,-0.10476190476190476,-18,-6,-24,0.9215686274509803,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.4(수),33,K,X/Y,AA/AB
2026-03-08,3.8(일),1,최상위권 전문관,0,729,729,729,0,0,526,526,0,600,600,0,203,203,0.38593155893536124,0,129,129,1.215,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),12,L,Y/Z,AB/AC
2026-03-08,3.8(일),2,기숙 종합관,0,405,405,405,0,0,255,255,0,400,400,0,150,150,0.5882352941176471,0,5,5,1.0125,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),13,L,Y/Z,AB/AC
2026-03-08,3.8(일),3,여학생 전문관,0,329,329,419,-90,0,393,393,0,395,395,0,-64,-64,-0.1628498727735369,0,-66,-66,0.8329113924050633,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),14,L,Y/Z,AB/AC
2026-03-08,3.8(일),4,여학생 수학전문관,0,90,90,,,0,0,0,0,0,0,0,90,90,,0,90,90,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),15,L,Y/Z,AB/AC
2026-03-08,3.8(일),5,남학생 전문관,0,467,467,467,0,0,434,434,0,440,440,0,33,33,0.07603686635944701,0,27,27,1.0613636363636363,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),16,L,Y/Z,AB/AC
2026-03-08,3.8(일),6,강남,97,171,268,268,0,105,137,242,104,305,409,-8,34,26,0.10743801652892562,-7,-134,-141,0.6552567237163814,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),18,L,Y/Z,AB/AC
2026-03-08,3.8(일),7,목동,95,254,349,349,0,93,300,393,85,316,401,2,-46,-44,-0.11195928753180662,10,-62,-52,0.8703241895261845,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),19,L,Y/Z,AB/AC
2026-03-08,3.8(일),8,분당,176,345,521,521,0,212,351,563,220,255,475,-36,-6,-42,-0.07460035523978685,-44,90,46,1.0968421052631578,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),20,L,Y/Z,AB/AC
2026-03-08,3.8(일),9,대구,162,442,604,604,0,197,448,645,218,430,648,-35,-6,-41,-0.06356589147286822,-56,12,-44,0.9320987654320988,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),21,L,Y/Z,AB/AC
2026-03-08,3.8(일),10,대전,110,177,287,287,0,125,191,316,125,181,306,-15,-14,-29,-0.09177215189873418,-15,-4,-19,0.9379084967320261,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.8(일),22,L,Y/Z,AB/AC
2026-03-11,3.11(수),1,최상위권 전문관,0,735,735,735,0,0,526,526,0,600,600,0,209,209,0.3973384030418251,0,135,135,1.225,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.11(수),12,L,Y/Z,AB/AC
2026-03-11,3.11(수),2,기숙 종합관,0,407,407,407,0,0,254,254,0,400,400,0,153,153,0.6023622047244095,0,7,7,1.0175,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.11(수),13,L,Y/Z,AB/AC
2026-03-11,3.11(수),3,여학생 전문관,0,331,331,422,-91,0,395,395,0,395,395,0,-64,-64,-0.1620253164556962,0,-64,-64,0.8379746835443038,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260329(보고용).xlsx",3.11(수),14,L,Y/Z,AB/AC
